no,record_key,author,title,imprint_place,year,type,subject,status,confidence,attested_by,shelfmark,institution,catalogue_record,facsimile
140,e-norlind-paracelsus-biblia,Paracelsus (Theophrastus von Hohenheim),Commentationes in integra Biblia (manuscript),,,Manuscript,Theology/Alchemy,Disputed,C,Norlind 1970,,,,
141,e-norlind-paulus-alexandrinus,Paulus Alexandrinus,Eisagoge eis ten apotelesmatiken seu Rudimenta in doctrinam de praedictis natalitiis ex Henrici Rantzovii bibliotheca primum graece et latine edita et nunc denuo correcta,,Wittenberg 1588,Printed Book,Astrology (genethlialogy),Attested; retired as unlocatable,B,Norlind 1970,,,,
142,e-mort-kb-flemlose,Peder Jacobsen Flemløse,Ægloga de eclipsi solari anno 1574 ... futura,,1574,Printed Book,Astronomy (eclipse),Disputed,C,Mortensen 1955,Hielmst. 1226 4° (KB),Royal Danish Library (Det kongelige Bibliotek),https://soeg.kb.dk/discovery/fulldisplay?docid=alma99122482174605763&context=L&vid=45KBDK_KGL:KGL,
143,e-norlind-flemlose-astrologia-da,Peder Jacobsen Flemløse,En elementisch oc jordisch Astrologia (Danish),Uraniborg,1591,Printed Book,Astrology/meteorology (weather-prognostic rules),Attested; retired as unlocatable,B,Norlind 1970,,,,
144,e-norlind-flemlose-astrologia-de,Peder Jacobsen Flemløse,Ein elementisch und irdische Astrologia (German translation),Uraniborg,1591,Printed Book,Astrology/meteorology (weather-prognostic rules),Attested; retired as unlocatable,B,Norlind 1970,,,,
145,e-norlind-nunes-navigandi,Pedro Nunes (Nonius),De arte atque ratione navigandi libri II,,,Printed Book,Navigation/Mathematics,Attested; retired as unlocatable,B,Norlind 1970,,,,
146,e-norlind-nunes-crepusculis,Pedro Nunes (Nonius),"De crepusculis liber unus (with Alhazen, De causis crepusculorum)",Lisbon,1542,Printed Book,Optics/Astronomy,Attested; retired as unlocatable,C,Norlind 1970,,,,
147,e-kl-31,"Peletarius, Jacobus",Commentarii tres.,,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 7 B 25,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000047686&local_base=STT,
148,e-ging-apianus-wittich,Peter Apianus,Astronomicum Caesareum (Ingolstadt 1540) — Tycho's presentation copy to Paul Wittich,,1540,Printed Book,Astronomy,Located,A,Gingerich 2002,(Special Collections; shelfmark not recorded),University of Chicago Library,,
149,e-ging-apianus-tbo1583,Peter Apianus (bound with Johann Schöner),"Astronomicum Caesareum (Ingolstadt 1540), bound with Schöner's equatorium (Nürnberg 1521)",,1540,Printed Book,Astronomy/Instruments,Located,A,Gingerich 2002,(private; no shelfmark),"Private / untraced (incl. American collectors via Mortensen/Martayan Lan; formerly Antiquariat Weiß & Co., Munich)",,
150,e-ging-apianus-cosmographia-1561,Petrus Apianus,Cosmographia (1561 edition),,1561,Printed Book,Geography/Cosmography,"Attested, not located",B,Gingerich 2002,,,,
151,e-prandtlA-28,"Peucer, Caspar",Elementa doctrinae de circulis coelestibus et primo motu,Wittenberg,1563,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 K 70,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000157951&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_K_000070_2RIHJWB-cs
152,e-prandtlA-29,"Peurbach, Georg",Tabulae eclypsium Magistri Georgii Peurbachii,Vienna,1514,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 A 63,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000100065&local_base=STT,
153,e-prandtlA-37,"Peurbach, Georg / Regiomontanus",Tractatus Georgii Peurbachii super propositiones Ptolemaei de sinubus et chordis; compositio tabularum sinuum per Joannem de Regiomonte; tabulae sinuum duplices,Nürnberg,1541,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 5 C 31,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000011736&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__5_C_000031__29S4MH3-cs
154,e-kl-27c,Pietro Pitati (Petrus Pitatus),Compendium super annua solaris,,1560,Printed Book,Astronomy/Calendar,Located,B,Šolc 2002,Sign. 5 H 65,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000057198&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__5_H_000065__2VCWBT9-cs
155,e-prandtlA-30,"Proclus (with Cleomedes, Aratus, Dionysius Afer)",Procli de sphaera liber; Cleomedis de mundo; Arati Phaenomena; Dionysii Afri descriptio orbis habitabilis,Basel,1547,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 5 J 2,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000058701&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__5_J_000002__0TPC701-cs
156,e-kl-25,"Proclus, Diadochus",In Claudii Ptolemaei Quadripartitum enarrator ignoti nominis,,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 5 B 7,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000009428&local_base=STT,
157,e-prandtlA-32,"Ptolemaeus, Claudius",Sacratissime astronomie Ptholemei liber diversarum rerum,Venice,1509,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 F 8,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000155813&local_base=STT,
158,e-prandtlA-31,"Ptolemaeus, Claudius",Claudii Ptolemaei Pelusiensis Alexandrini omnia quae extant opera praeter geographiam,Basel,1551,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 5 B 70,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000010571&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__5_B_000070__1M7MM1F-cs
159,e-prandtlA-51,"Ramus, Petrus",Dialectica (+ 2 minor works),Basel,1585,Printed Book,Letters/Philosophy,Located,A,Prandtl 1932,Sign. 12 H 10,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000147262&local_base=STT,
160,e-prandtlA-33,"Rantzau, Heinrich (Ranzovius)","Henrici Ranzovii catalogus imperatorum regum ac virorum illustrium qui artem astrologicam amarunt, ornarunt et exercuerunt",Leipzig,1584,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 1 H 56,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000019779&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__1_H_000056__0IVXXLA-cs
161,e-kl-14,"Regiomontanus, Joannes",Ephemerides ab anno 1482 ad annum 1506,,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 14 H 188,National Library of the Czech Republic (Clementinum),,
162,e-prandtlA-35,"Regiomontanus, Joannes",Joannis de Regio Monte de triangulis omnimodis libri quinque,Nürnberg,1533,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 5 C 31,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000011736&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__5_C_000031__29S4MH3-cs
163,e-prandtlA-36,"Regiomontanus, Joannes",Joannis de Regiomonte de quadratura circuli dialogus,Nürnberg (Petreius),1533,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 5 C 31,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000011736&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__5_C_000031__29S4MH3-cs
164,e-prandtlA-34,"Regiomontanus, Joannes",Joannis de Monte Regio tabulae directionum profectionumque; ejusdem Regiomontani tabula sinuum,Tübingen (Morhardus),1550,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,"(Prandtl Verzeichnis B, Band II; shelfmark not recorded)","Private / untraced (incl. American collectors via Mortensen/Martayan Lan; formerly Antiquariat Weiß & Co., Munich)",,
165,e-prandtlA-38,"Reinhold, Erasmus",Initium Canonum Prutenicorum,,,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 J 176,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000059265&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_J_000176_390BS57-cs
166,e-prandtlA-39,"Reinhold, Erasmus",Logistice scrupulorum astronomicorum,,,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 J 176,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000059265&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_J_000176_390BS57-cs
167,e-prandtlA-40,"Reinhold, Erasmus",Prutenicae Tabulae coelestium motuum,Tübingen (Morhardus),1551,Printed Book,Ephemerides/Tables,Located,A,Prandtl 1932,Sign. 14 J 176,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000059265&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_J_000176_390BS57-cs
168,e-kl-20,"Reinholdus, Erasmus",Prutenicae tabulae coelestium motuum.,,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 14 J 192,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000162790&local_base=STT,
169,e-kl-12,"Rheticus, Georg Joachim",Canon doctrinae triangulorum. Lipsiae 1551.,,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 14 C 20,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000059268&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_C_000020_0V6OWZB-cs
170,e-prandtlA-41,"Sacrobosco, Joannes de",Sphaera Johannis de Sacrobusto in compendium digesta,,1539,Manuscript,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. VII E 29,National Library of the Czech Republic (Clementinum),https://www.manuscriptorium.com/apis/resolver-api/cs/catalog/default/detail/manuscriptorium|AIPDIG-NKCR__VII_E_29____0QL8AH7-cs,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=AIPDIG-NKCR__VII_E_29____0QL8AH7-cs
171,e-norlind-pagnini-thesaurus,Sante Pagnini,Thesaurus linguae sanctae,Lyon,1529,Printed Book,Hebrew lexicography,Attested; retired as unlocatable,C,Norlind 1970,,,,
172,e-prandtlA-52,"Scaliger, J.C.",De causis linguae latinae libri tres,,1584,Printed Book,Letters/Philosophy,Located,A,Prandtl 1932,Sign. 8 H 39,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000059271&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__8_H_000039__0MWKNO7-cs
173,e-prandtlA-42,"Scaliger, Joseph Justus",Cyclometriae elementa duo,,1594,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 A 59,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000099979&local_base=STT,https://books.google.com/books?vid=NKP:1002614025&printsec=frontcover
174,e-kl-41,"Scaliger, Josephus Justus",Opus novum de emendatione temporum,,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 19 A 46,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000082219&local_base=STT,
175,e-kl-17,"Scheiner, Christoph",Pantographice seu Ars delineandi,,1631,Printed Book,,Collection afterlife,A,Kleinschnitzová 1933,Sign. 14 J 164,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000162740&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_J_000164_1BQMXVA-cs
176,e-kl-45,"Scultetus, Bartholomaeus",Cometae anno humanitatis J. C. 1577 ... adparentis descriptio ... Gorlicii 1578.,,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 14 F 284,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000157760&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_F_000284_2CBQA22-cs
177,e-prandtlA-43,"Stanhufius, Michael",De meteoris libri duo,Wittenberg,1562,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 16 J 38,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000097276&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__16_J_000038_12FG5HE-cs
178,e-prandtlA-44,"Stoeffler, Johann",Calendarium Romanum Magnum,Tübingen,1518,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 A 63,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000100065&local_base=STT,
179,e-prandtlA-47,Strabo Fuldensis,Hortulus (ad Grymaldum Abbatem),Nürnberg,1512,Printed Book,Natural science,Located,A,Prandtl 1932,Sign. 14 F 8,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000155813&local_base=STT,
180,e-prandtlA-55,Synesius Cyrenaeus,Oratio ad Arcadium de regno (transl. Camerarius),Leipzig,1555,Printed Book,Letters/Philosophy,Located,A,Prandtl 1932,Sign. 5 G 92,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000022037&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__5_G_000092__1R9AFP9-cs
181,e-prandtlA-53,Synesius Cyrenaeus,De providentia disputatio (transl. Rudinger),Basel,1557,Printed Book,Letters/Philosophy,Located,A,Prandtl 1932,Sign. 5 G 92,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000022037&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__5_G_000092__1R9AFP9-cs
182,e-prandtlA-54,Synesius Cyrenaeus,Epistolae graece et latine (ed. Naogeorgus),Basel,1558,Printed Book,Letters/Philosophy,Located,A,Prandtl 1932,Sign. 5 G 92,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000022037&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__5_G_000092__1R9AFP9-cs
183,e-prandtlA-56,Synesius Cyrenaeus,"Synesii Cyrenaei [De insomniis], interprete Gulielmo Cantero",Basel,1567,Printed Book,Letters/Philosophy,Located,A,Prandtl 1932,Sign. 5 G 92,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000022037&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__5_G_000092__1R9AFP9-cs
184,e-norlind-hagecius-dialexis,Thaddaeus Hagecius (Hájek),Dialexis de novae et prius incognitae stellae ... apparitione,Frankfurt am Main,1574,Printed Book,Astronomy (nova 1572),"Attested, not located",B,Norlind 1970,,,,
185,e-norlind-hagecius-responsio,Thaddaeus Hagecius (Hájek),Responsio ad ... Hannibalis Raimundi scriptum,Prague,1576,Printed Book,Astronomy (nova polemic),"Attested, not located",B,Norlind 1970,,,,
186,e-norlind-hagecius-descriptio,Thaddaeus Hagecius (Hájek),Descriptio cometae qui apparuit 1577,Prague,1578,Printed Book,Astronomy (comet),"Attested, not located",B,Norlind 1970,,,,
187,e-norlind-hagecius-apodixis,Thaddaeus Hagecius (Hájek),Apodixis physica et mathematica de cometis,Görlitz,1581,Printed Book,Astronomy (comet),"Attested, not located",B,Norlind 1970,,,,
188,e-prandtlA-57,Theodor Zwinger (comp.),Theatri humanae vitae Volumen decimum-octavum [vol. XVIII],Basel,"Basel, 1587",Printed Book,Encyclopaedia/commonplace (humanae vitae),Located,A,Prandtl 1932,(inventory number not recorded),Röhsska Museum,,
189,e-letter-digges-alae,Thomas Digges,Alae seu scalae mathematicae (on the radius/cross-staff),,1573,Printed Book,Astronomy (nova/radius),"Attested, not located",B,Correspondence and later literature,,,,
190,e-kl-46,Thomas Erastus and others,"De cometis dissertationes novae Thom. Erasti, Andr. Dudithii, Marc. Squarcialupi, S. Grynaei",,"[Basel & Heidelberg], 1580",Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 14 H 192,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000160108&local_base=STT,
191,e-mort-kb-fincke,Thomas Fincke,Geometriae rotundi libri XIIII (Basel 1583),,1583,Printed Book,Mathematics/Geometry,Disputed,C,Mortensen 1955,"LN 599 4 ex.1 (Royal Library, Copenhagen); Hielmst. 1661a 4 (= LN 599 4 ex.2; sammelband with Ursus, Fundamentum astronomicum, Strasbourg 1588)",Royal Danish Library (Det kongelige Bibliotek); Royal Danish Library (Det kongelige Bibliotek),https://soeg.kb.dk/permalink/45KBDK_KGL/i0g9t3/alma99122912629505763,
192,e-corr-hesse-cometobs,"Wilhelm IV, Landgrave of Hesse-Kassel",Observations of the comet of 1577 (sent to Tycho),,,Manuscript,Astronomy,Disputed,C,Correspondence and later literature,,,,
193,e-solc-xivb38,Witelo (Vitellio) & Albrecht Dürer,Vitellionis ... De ratione projecti radiorum lib. X (Nürnberg 1585); bound with Alberti Dureri Geometriae lib. III (Paris 1582),,1585,Printed Book,Optics/Geometry,Located,A,Šolc 2002,Sign. XIV B 38,National Library of the Czech Republic (Clementinum),,
194,e-prandtlA-58,Xenophon,"Xenophontis opera, Latine — Wittenberg edition",Wittenberg,1556,Printed Book,Letters/Philosophy,Located,A,Prandtl 1932,(Specialsamlingar; no class-mark in the OPAC),Uppsala University Library,https://libris.kb.se/fxqdp8qr4fzxfx8,
195,e-kl-7,"Ziegler, Jacobus",Commentarius in C. Plinii de naturalia librum secundum,,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 7 B 27,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000047781&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__7_B_000027__38N9D04-cs
196,e-solc-fk15b,,Antimachus (dialogue),,,Tract,Mathematics (dialogue),Located,C,Šolc 2002,Sign. 14 H 190/adl.1,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000159592&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_H_000190_2H26VT1-cs
197,e-solc-fk21b,,Brevis explicatio doctrinae sinuum (followed by tables),,,Tract,Mathematics (trigonometry),Located,C,Šolc 2002,Sign. 14 K 70,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000157951&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_K_000070_2RIHJWB-cs
198,e-debello-moscovitico,,De bello Moscovitico quod Stephanus rex Poloniae gessit (a surviving Tycho copy),,,Printed Book,History,Disputed,D,Other,,,,
199,e-prandtlA-09,[Anonymous],Introductorium astronomicum,Paris,1517,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 A 63,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000100065&local_base=STT,
200,e-solc-fk15c,,Nicomedes (dialogue),,,Tract,Mathematics (dialogue),Located,C,Šolc 2002,Sign. 14 H 190/adl.1,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000159592&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_H_000190_2H26VT1-cs
201,e-kl-32,,"Sammelband (Sign. 9 B 135): Alma, Bellum giganteum (Heidelbergae 1588); Candidus, Bohemais (Argentorati 1587)",,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 9 B 135,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000138339&local_base=STT,
202,e-kl-6,,"Sammelband, Sign. 5 G 42: Heron Alexandrinus, Spiritalium liber (Urbino 1575); Werner, Libellus super vigintiduobus elementis conicis (Nuremberg 1522) — with three non-Tychoniana bound in",,,Printed Book,Astronomy & mathematics (Sammelband),Located,A,Kleinschnitzová 1933,Sign. 5 G 42,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000112045&local_base=STT,
203,e-kl-2,,Tychonis Brahe Brevissimum planimetriae compendium.,,,Manuscript,Astronomy/Mathematics,Located,A,Kleinschnitzová 1933,Sign. XII A 28,National Library of the Czech Republic (Clementinum),,
204,e-kl-1,,Tychonis Brahe Tabulae sinuum.,,,Manuscript,Astronomy/Mathematics,Located,A,Kleinschnitzová 1933,Sign. VI E 9,National Library of the Czech Republic (Clementinum),https://www.manuscriptorium.com/apps/index.php?direct=record&pid=AIPDIG-NKCR__VI_E_9______0TMAVX3-cs,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/3/AIPDIG-NKCR__VI_E_9______0TMAVX3-cs/
