no,record_key,author,title,imprint_place,year,type,subject,status,confidence,attested_by,shelfmark,institution,catalogue_record,facsimile
62,e-norlind-patrizi-novaphilosophia,Francesco Patrizi,Nova de universis philosophia,Ferrara,1591,Printed Book,Natural philosophy,Attested; retired as unlocatable,B,Norlind 1970,,,,
63,e-norlind-valles-sacraphilosophia,Francisco Valles (Vallesius),"De iis quae scripta sunt physice in libris sacris, sive de sacra philosophia",Lyon,1588,Printed Book,Natural philosophy/Theology,Attested; retired as unlocatable,C,Norlind 1970,,,,
64,e-letter-viete-tracts,François Viète (Vieta),Two recently-published tracts (1600) + Opera mathematica (the works Tycho requested),,1600,Printed Book,Mathematics,"Attested, not located",B,Correspondence and later literature,,,,
65,e-prandtlA-18,"Galateus, Antonius",De situ elementorum,Basel,1558,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 16 J 38,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000097276&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__16_J_000038_12FG5HE-cs
66,e-prandtlA-19,"Garcaeus, Johannes",Tractatus brevis et utilis de erigendis figuris coeli,Wittenberg,1556,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,(Specialsamlingar; no class-mark in the OPAC),Uppsala University Library,https://libris.kb.se/fxqdp8qr4fzxfx8,
67,e-kl-35,"Gauricus, Lucas",Opera omnia.,,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 14 B 11,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000153962&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14B000011T2_13T6LBB-cs
68,e-prandtlA-20,"Gauricus, Lucas",Tractatus astrologiae judiciariae de nativitatibus,Nürnberg,1540,Printed Book,Astronomy/Astrology/Mathematics,Located,A,Prandtl 1932,Sign. 14 F 16,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000155904&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_F_000016_38YQ7E9-cs
69,e-letter-braun-theatrum,Georg Braun & Frans Hogenberg,Theatrum urbium / Civitates orbis terrarum (the city-atlas; sought the further volumes),,,Printed Book,Geography/Cartography,Attested; retired as unlocatable,C,Correspondence and later literature,,,,
70,e-norlind-busch-nova1572,Georg Busch,[Nova-1572 tracts] Von dem Cometen ... 1572 + the fuller Erfurt 1573 redaction,,1572,Printed Book,Astronomy (nova 1572),"Attested, not located",C,Norlind 1970,,,,
71,e-norlind-rheticus-opuspalatinum,Georg Joachim Rheticus (compl. L.V. Otho),Opus palatinum de triangulis,Neustadt,1596,Printed Book,Trigonometry/Tables,"Attested, not located",C,Norlind 1970,,,,
72,e-norlind-buchanan-sphaera,George Buchanan,Sphaera,,1585,Printed Book,Cosmological poetry,Attested; retired as unlocatable,C,Norlind 1970,,,,
73,e-prandtlA-46,"Gesner, Conrad","De omni rerum fossilium genere, gemmis, lapidibus, metallis",Zürich,1565,Printed Book,Natural science,Located,A,Prandtl 1932,(ex Wilhelm Prandtl collection; HRC call-number not recorded),University of Texas at Austin (Harry Ransom Center),,
74,e-kl-43,"Gesner, Conradus",Bibliotheca instituta et collecta. Tiguri 1574.,,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 2 A 8,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000007643&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__2_A_000008__1YIVXB0-cs
75,e-prague-bruno,Giordano Bruno,"Camoeracensis acrotismus seu Rationes articulorum physicorum (Wittenberg, Z. Crato 1588)",,1588,Printed Book,Natural philosophy/Polemic,Located,A,Šolc 2002,XV K 22 8° (olim 8 I 70),National Library of the Czech Republic (Clementinum),https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__15_K_000022_3Y95TLC-cs,https://collectiones.manuscriptorium.com/assorted/NKCR__/NKCR__/C/NKCR__-NKCR__15_K_000022_3Y95TLC-cs/
76,e-letter-magini-ephemerides,Giovanni Antonio Magini,Ephemerides coelestium motuum (latest 10-year ed.),,,Printed Book,Ephemerides/Tables,"Attested, not located",B,Correspondence and later literature,,,,
77,e-letter-magini-tabulae1586,Giovanni Antonio Magini,Tabulae novae + Ephemerides (ad calendarii emendationem),Vienna,1585,Printed Book,Ephemerides/Tables,"Attested, not located",B,Correspondence and later literature,,,,
78,e-norlind-magini-tetragonica,Giovanni Antonio Magini,Tabula tetragonica,Venice,1592,Printed Book,Mathematics/Tables,"Attested, not located",B,Norlind 1970,,,,
79,e-norlind-carelli-ephemerides,Giovanni Battista Carelli,Ephemerides ad annos XIX (1557-1575),Venice,1557,Printed Book,Ephemerides/Tables,"Attested, not located",B,Norlind 1970,,,,
80,e-norlind-cardano-rerumvarietate,Girolamo Cardano,De rerum varietate libri XVII,,,Printed Book,Natural philosophy/Encyclopaedia,Attested; retired as unlocatable,C,Norlind 1970,,,,
81,e-norlind-cardano-subtilitate,Girolamo Cardano,De subtilitate libri XXI,,,Printed Book,Natural philosophy/Encyclopaedia,Attested; retired as unlocatable,C,Norlind 1970,,,,
82,e-norlind-fracastoro-homocentrica,Girolamo Fracastoro,Homocentrica,Venice,1538,Printed Book,Cosmology (homocentric spheres),Attested; retired as unlocatable,C,Norlind 1970,,,,
83,e-kl-42,"Glareanus, Henricus",De geographia liber unus. Friburgi Brisgaudiae 1536.,,,Printed Book,,Located,B,Kleinschnitzová 1933,Sign. 19 G 20,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000082482&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__19_G_000020_1441YV1-cs
84,e-solc-xxxih26,Guillermus Vorillong (Guillaume de Vaurouillon),"Super quattuor libris Sententiarum (with two further bound manuscript texts, one in two hands)",,,Manuscript,Scholastic theology (Sentences commentary),Located,B,Šolc 2002,Sign. XXXI H 26,National Library of the Czech Republic (Clementinum),,
85,e-kl-38,"Haschardus, Petrus",Clypeus astrologicus ... adversus flagellum Francisci Rapardi,,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 14 H 105,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000158057&local_base=STT,
86,e-mort-frederiksborg-agrippa,Heinrich Cornelius Agrippa von Nettesheim,"Opera, tomus I (Lyon, ca. 1550, 8vo)",,1550,Printed Book,Occult philosophy,Located,A,Mortensen 1955,(Tycho Brahe-Montre; inventory number not published),"Museum of National History, Frederiksborg Castle",,
87,e-norlind-rantzau-calendarium,Heinrich Rantzau,Rantzovianum calendarium ad elevationem poli 55 grad.,Hamburg,1590,Printed Book,Calendar/Astrology,"Attested, not located",B,Norlind 1970,,,,
88,e-solc-fk3b,Heinrich Rantzau (Henricus Ranzovius),Astrologicae quaedam praedictiones; adiectus est tractatus De annis climactericis,,,Printed Book,Astrology,Located,B,Šolc 2002,Sign. 1 H 56,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000019779&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__1_H_000056__0IVXXLA-cs
89,e-norlind-hipparchus-arati,"Hipparchus (ed. princeps, Petrus Victorius)",In Arati et Eudoxi Phaenomena libri III,Florence,1567,Printed Book,Astronomy (Greek),"Attested, not located",C,Norlind 1970,,,,
90,e-norlind-heerbrand-calendario,Jakob Heerbrand,Disputatio de adiaphoris et calendario Gregoriano (resp. Corbinus),Tübingen,1584,Printed Book,Calendar reform,"Attested, not located",B,Norlind 1970,,,,
91,e-mort-kb-calvin-theocritus,Jean Calvin; (bound with) Theocritus,"Calvini Epistolae & responsa (Hanau 1597) bound with Theocriti Idyllia & Epigrammata (gr./lat., Heidelberg 1596)",,1597,Printed Book,Reformed theology/Greek lyric,Located,A,Mortensen 1955,(shelfmark not recorded),Royal Danish Library (Det kongelige Bibliotek),,
92,e-letter-munoz-novastella,Jerónimo Muñoz (Munosius),"Libro del nuevo cometa / De nova stella (Spanish, Valencia 1573)",,1573,Printed Book,Astronomy (nova 1572),"Attested, not located",B,Correspondence and later literature,,,,
93,e-kl39-5-ambianus,Joannes Ambianus,De linearum rectarum per quadratum geometricum dimensionibus,,1563,Printed Book,Mathematics (geometry),Located,A,Norlind 1970,Sign. 14 H 225,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000160485&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_H_000225_0JMJXKC-cs
94,e-letter-carion-directionum,Johann Carion,Libellus de directionum significationibus,,,Printed Book,Astrology (directions),"Attested, not located",B,Correspondence and later literature,,,,
95,e-norlind-heurnius-histori,Johann Heurnius,"Die Histori, Natur und Bedeutniss des erschröcklichen Cometen 1577",Cologne,1577,Printed Book,Astronomy (comet),Attested; retired as unlocatable,C,Norlind 1970,,,,
96,e-letter-angelus-astrolabium,"Johannes Angelus (with Jacobus Angelus, De cometis)","Astrolabium planum; bound/sent with Jacobus Angelus, De cometis",,,Printed Book,Astronomy/Instruments,"Attested, not located",B,Correspondence and later literature,,,,
97,e-kl33-4-caselius,Johannes Caselius,Friderico II. regi Daniae ad regni senatores ἐπιτάφιος (panegyric),,1588,Printed Book,Oration/panegyric,Located,A,Norlind 1970,Sign. 14 A 63,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000100065&local_base=STT,
98,e-letter-francius-deastris,Johannes Francius,[Liber] de astris,,,Printed Book,Astrology/Astronomy,"Attested, not located",B,Correspondence and later literature,,,,
99,e-norlind-hegelund-themata,Johannes Hegelius (Jens Pedersen Hegelund),Themata pro disputatione quarta psychologiae (praes. Jacobus Cocus),Wittenberg,1599,Printed Book,Philosophy (psychology),"Attested, not located",B,Norlind 1970,,,,
100,e-norlind-kepler-mysterium,Johannes Kepler,Prodromus dissertationum cosmographicarum (Mysterium cosmographicum),Tübingen,1596,Printed Book,Astronomy (cosmology),"Attested, not located",B,Norlind 1970,,,,
101,e-norlind-krabbe-observations,Johannes Krabbe,Manuscript of solar/lunar eclipse observations,Wolfenbüttel,1600,Manuscript,Astronomy (observations),Located,A,Norlind 1970,"GKS 318 2°, fol. 159r",Royal Danish Library (Det kongelige Bibliotek),,
102,e-norlind-praetorius-decometis,Johannes Praetorius,"De cometis qui antea visi sunt et de eo qui ... Novembri apparuit, narratio",Nürnberg,1578,Printed Book,Astronomy (comet),"Attested, not located",C,Norlind 1970,,,,
103,e-kl-30,Johannes Regiomontanus,"In Ptolemaei Magnam Compositionem quam Almagestum vocant, libri XIII",,,Printed Book,,Located,A,Kleinschnitzová 1933,Sign. 7 B 22,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000047669&local_base=STT,
104,e-norlind-regiomontanus-decometae,Johannes Regiomontanus,De cometae magnitudine longitudineque ... problemata XVI,Nürnberg,1531,Printed Book,Astronomy (comet),"Attested, not located",B,Norlind 1970,,,,
105,e-norlind-regiomontanus-scripta,Johannes Regiomontanus,"Scripta (De Torqueto ... + Peurbach, De quadrato geometrico)",Nürnberg,1544,Printed Book,Astronomy/Instruments,"Attested, not located",B,Norlind 1970,,,,
106,e-norlind-stadius-ephemerides,Johannes Stadius,Ephemerides novae et exactae,Cologne,1556,Printed Book,Ephemerides/Tables,"Attested, not located",B,Norlind 1970,,,,
107,e-norlind-quercetanus-responsio,Joseph Du Chesne (Quercetanus),Ad Iacobi Auberti Vindonis de ortu et causis metallorum ... brevis responsio,,1575,Printed Book,Alchemy/Chymical medicine,Attested; retired as unlocatable,B,Norlind 1970,,,,
108,e-corr-scaliger-books,Joseph Justus Scaliger,"Two books from Scaliger + his hand-annotated Greek Hipparchus (In Arati et Eudoxi Phaenomena commentaria, ed. pr. Victorius, Florence 1567)",,,Printed Book,Astronomy,"Attested, not located",B,Correspondence and later literature,,,,
109,e-letter-scaliger-praecessione,Joseph Justus Scaliger,Diatriba de praecessione aequinoctiorum,,,Printed Book,Astronomy/Chronology,Attested; retired as unlocatable,C,Correspondence and later literature,,,,
110,e-letter-scaliger-emendatione,Joseph Justus Scaliger,"De emendatione temporum (revised ed.; Leiden, Plantin 1598)",,1598,Printed Book,Chronology,"Attested, not located",B,Correspondence and later literature,,,,
111,e-mort-lipsius-de-constantia-lost,Justus Lipsius,De constantia,,,Printed Book,Philosophy (Stoic),Lost,B,Mortensen 1955,,,,
112,e-nkp102-kepler-stella-nova,"Kepler, Johannes",De stella nova in pede serpentarii,Prague,1606,Printed Book,Astronomy (nova),Collection afterlife,B,NKP owner index,Sign. 14 J 199,National Library of the Czech Republic (Clementinum),https://aleph.nkp.cz/F/?func=direct&doc_number=000162606&local_base=STT,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__14_J_000199_3571D08-cs
